RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
1,CLEMClemson(38),0-0,1520,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,1,AP Poll,1
2,OSUOhio State(21),0-0,1504,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&w=40&h=40,Ohio State,1,AP Poll,2
3,ALAAlabama(2),0-0,1422,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,1,AP Poll,3
4,UGAGeorgia,0-0,1270,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,1,AP Poll,4
5,OUOklahoma,0-0,1269,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&w=40&h=40,Oklahoma,1,AP Poll,5
6,LSULSU(1),0-0,1186,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&w=40&h=40,LSU,1,AP Poll,6
7,PSUPenn State,0-0,1147,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&w=40&h=40,Penn State,1,AP Poll,7
8,FLAFlorida,0-0,1125,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,1,AP Poll,8
9,OREOregon,0-0,1119,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&w=40&h=40,Oregon,1,AP Poll,9
10,NDNotre Dame,0-0,995,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,1,AP Poll,10
11,AUBAuburn,0-0,852,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,1,AP Poll,11
12,WISCWisconsin,0-0,840,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=40&h=40,Wisconsin,1,AP Poll,12
13,TA&MTexas A&M,0-0,764,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,1,AP Poll,13
