RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
1,CLEMClemson(38),0-0,1589,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,1,Coaches Poll,1
2,OSUOhio State(17),0-0,1555,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&w=40&h=40,Ohio State,1,Coaches Poll,2
3,ALAAlabama(4),0-0,1495,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,1,Coaches Poll,3
4,UGAGeorgia,0-0,1345,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,1,Coaches Poll,4
5,LSULSU,0-0,1330,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&w=40&h=40,LSU,1,Coaches Poll,5
6,OUOklahoma,0-0,1315,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&w=40&h=40,Oklahoma,1,Coaches Poll,6
7,PSUPenn State,0-0,1199,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&w=40&h=40,Penn State,1,Coaches Poll,7
8,FLAFlorida,0-0,1176,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,1,Coaches Poll,8
9,OREOregon,0-0,1164,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&w=40&h=40,Oregon,1,Coaches Poll,9
10,NDNotre Dame,0-0,1012,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,1,Coaches Poll,10
11,AUBAuburn,0-0,898,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,1,Coaches Poll,11
12,WISCWisconsin,0-0,887,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=40&h=40,Wisconsin,1,Coaches Poll,12
13,TA&MTexas A&M,0-0,807,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,1,Coaches Poll,13
14,TEXTexas,0-0,703,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&w=40&h=40,Texas,1,Coaches Poll,14
15,MICHMichigan,0-0,687,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&w=40&h=40,Michigan,1,Coaches Poll,15
16,OKSTOklahoma State,0-0,524,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&w=40&h=40,Oklahoma State,1,Coaches Poll,16
17,USCUSC,0-0,521,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&w=40&h=40,USC,1,Coaches Poll,17
18,MINNMinnesota,0-0,494,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&w=40&h=40,Minnesota,1,Coaches Poll,18
19,UNCNorth Carolina,0-0,415,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=40&h=40,North Carolina,1,Coaches Poll,19
20,UTAHUtah,0-0,241,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png&w=40&h=40,Utah,1,Coaches Poll,20
21,UCFUCF,0-0,232,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&w=40&h=40,UCF,1,Coaches Poll,21
22,CINCincinnati,0-0,229,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&w=40&h=40,Cincinnati,1,Coaches Poll,22
23,IOWAIowa,0-0,204,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&w=40&h=40,Iowa,1,Coaches Poll,23
24,VTVirginia Tech,0-0,143,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=40&h=40,Virginia Tech,1,Coaches Poll,24
25,ISUIowa State,0-0,135,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&w=40&h=40,Iowa State,1,Coaches Poll,25
1,CLEMClemson(37),1-0,1020,-,"@ Wake Forest<span class=""green""> W </span>37-13 ","vs The Citadel<span class=""green""> W </span>49-0 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,3,Coaches Poll,1
2,ALAAlabama(1),0-0,973,1, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,3,Coaches Poll,2
3,OUOklahoma,1-0,907,3,"vs Missouri State<span class=""green""> W </span>48-0 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&w=40&h=40,Oklahoma,3,Coaches Poll,3
4,UGAGeorgia,0-0,904,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,3,Coaches Poll,4
5,LSULSU(3),0-0,852,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&w=40&h=40,LSU,3,Coaches Poll,5
6,FLAFlorida,0-0,837,2, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,3,Coaches Poll,6
7,NDNotre Dame,1-0,760,3,"vs Duke<span class=""green""> W </span>27-13 ","vs South Florida<span class=""green""> W </span>52-0 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,3,Coaches Poll,7
8,TEXTexas,1-0,697,6,"vs UTEP<span class=""green""> W </span>59-3 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&w=40&h=40,Texas,3,Coaches Poll,8
9,AUBAuburn,0-0,694,2, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,3,Coaches Poll,9
10,TA&MTexas A&M,0-0,639,3, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,3,Coaches Poll,10
11,UNCNorth Carolina,1-0,575,8,"vs Syracuse<span class=""green""> W </span>31-6 ",vs Charlotte PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=40&h=40,North Carolina,3,Coaches Poll,11
12,OKSTOklahoma State,0-0,547,4, - ,"vs Tulsa<span class=""green""> W </span>16-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&w=40&h=40,Oklahoma State,3,Coaches Poll,12
13,UCFUCF,0-0,415,8, - ,"@ Georgia Tech<span class=""green""> W </span>49-21 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&w=40&h=40,UCF,3,Coaches Poll,13
14,CINCincinnati,0-0,403,8, - ,"vs Austin Peay<span class=""green""> W </span>55-20 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&w=40&h=40,Cincinnati,3,Coaches Poll,14
15,MEMMemphis,1-0,316,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&w=40&h=40,Memphis,3,Coaches Poll,15
16,LOULouisville,1-0,314,NR,"vs Western Kentucky<span class=""green""> W </span>35-21 ","vs #18 Miami<span class=""red""> L </span>47-34 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&w=40&h=40,Louisville,3,Coaches Poll,16
17,TENNTennessee,0-0,310,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&w=40&h=40,Tennessee,3,Coaches Poll,17
18,MIAMIMiami,1-0,268,NR,"vs UAB<span class=""green""> W </span>31-14 ","@ #16 Louisville<span class=""green""> W </span>47-34 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&w=40&h=40,Miami,3,Coaches Poll,18
19,VTVirginia Tech,0-0,266,5, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=40&h=40,Virginia Tech,3,Coaches Poll,19
20,UKKentucky,0-0,233,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png&w=40&h=40,Kentucky,3,Coaches Poll,20
21,ULLouisiana,1-0,220,NR,"@ Iowa State<span class=""green""> W </span>31-14 ","@ Georgia State<span class=""green""> W </span>34-31 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&w=40&h=40,Louisiana,3,Coaches Poll,21
22,BYUBYU,1-0,201,NR, - ,@ #25 Army PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&w=40&h=40,BYU,3,Coaches Poll,22
23,APPAppalachian State,1-0,177,NR,"vs Charlotte<span class=""green""> W </span>35-20 ","@ Marshall<span class=""red""> L </span>17-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png&w=40&h=40,Appalachian State,3,Coaches Poll,23
24,BAYBaylor,0-0,162,NR, - ,vs Houston PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png&w=40&h=40,Baylor,3,Coaches Poll,24
25,ARMYArmy,2-0,128,NR,"vs UL Monroe<span class=""green""> W </span>37-7 ",vs #22 BYU PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png&w=40&h=40,Army,3,Coaches Poll,25
1,CLEMClemson(44),2-0,1196,-,"vs The Citadel<span class=""green""> W </span>49-0 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,4,Coaches Poll,1
2,ALAAlabama(1),0-0,1119,-, - ,"@ Missouri<span class=""green""> W </span>38-19 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,4,Coaches Poll,2
3,OUOklahoma,1-0,1019,-, - ,"vs Kansas State<span class=""red""> L </span>38-35 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&w=40&h=40,Oklahoma,4,Coaches Poll,3
,UGAGeorgia,0-0,1019,1, - ,"@ Arkansas<span class=""green""> W </span>37-10 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,4,Coaches Poll,4
5,LSULSU(1),0-0,962,-, - ,"vs Mississippi State<span class=""red""> L </span>44-34 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&w=40&h=40,LSU,4,Coaches Poll,5
6,FLAFlorida,0-0,899,-, - ,"@ Ole Miss<span class=""green""> W </span>51-35 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,4,Coaches Poll,6
7,NDNotre Dame,2-0,896,-,"vs South Florida<span class=""green""> W </span>52-0 ",@ Wake Forest PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,4,Coaches Poll,7
8,AUBAuburn,0-0,766,1, - ,"vs Kentucky<span class=""green""> W </span>29-13 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,4,Coaches Poll,8
9,TEXTexas,1-0,764,1, - ,"@ Texas Tech<span class=""green""> W </span>63-56 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&w=40&h=40,Texas,4,Coaches Poll,9
